member_code,year,month,planned_hours,actual_hours,note
M166,2023,1,164,171,
M167,2023,1,175,182,
M168,2023,1,164,149,
M169,2023,1,182,195,
M170,2023,1,181,181,
M172,2023,1,179,170,
M173,2023,1,166,175,
M174,2023,1,179,196,要件定義作業
M175,2023,1,184,195,ドキュメント作成
M176,2023,1,182,206,
M177,2023,1,174,161,
M178,2023,1,165,151,
M179,2023,1,190,180,
M180,2023,1,168,180,
M181,2023,1,182,207,
M182,2023,1,166,163,
M183,2023,1,164,159,
M184,2023,1,185,173,
M185,2023,1,176,195,
M186,2023,1,177,192,
M187,2023,1,179,193,
M188,2023,1,176,160,
M189,2023,1,169,161,
M190,2023,1,196,186,
M191,2023,1,182,185,
M192,2023,1,185,202,
M193,2023,1,186,195,
M194,2023,1,170,179,
M195,2023,1,170,192,
M196,2023,1,194,217,
M197,2023,1,183,182,
M198,2023,1,178,172,プロジェクトA対応
M199,2023,1,192,192,
M200,2023,1,169,166,
M001,2023,2,161,151,
M002,2023,2,143,135,
M003,2023,2,158,156,
M004,2023,2,145,155,
M005,2023,2,149,156,
M006,2023,2,143,148,社内会議
M007,2023,2,145,137,
M008,2023,2,150,146,
M009,2023,2,138,136,
M010,2023,2,134,150,
M011,2023,2,135,124,
M012,2023,2,154,153,
M013,2023,2,140,137,
M014,2023,2,135,144,
M015,2023,2,156,163,
M016,2023,2,134,141,
M017,2023,2,137,146,
M018,2023,2,137,138,
M019,2023,2,153,172,
M020,2023,2,137,137,
M021,2023,2,135,124,
M022,2023,2,146,140,
M023,2023,2,153,147,
M024,2023,2,157,176,社内会議
M025,2023,2,141,141,
M026,2023,2,143,144,
M027,2023,2,160,151,
M028,2023,2,158,150,
M029,2023,2,148,156,
M030,2023,2,146,143,
M031,2023,2,146,145,プロジェクトB対応
M032,2023,2,137,141,
M033,2023,2,,158,
M034,2023,2,143,131,コードレビュー
M036,2023,2,136,138,
M037,2023,2,156,168,勉強会・研修
M038,2023,2,133,141,
M039,2023,2,145,158,基本設計
M040,2023,2,138,134,顧客打合せ
M041,2023,2,138,127,
M042,2023,2,157,143,詳細設計
M043,2023,2,161,158,
M044,2023,2,147,133,
M045,2023,2,147,134,
M046,2023,2,146,133,
M047,2023,2,140,159,
M048,2023,2,136,143,
M049,2023,2,149,150,
M050,2023,2,161,156,
M051,2023,2,151,157,
M052,2023,2,161,169,
M053,2023,2,144,146,
M054,2023,2,154,141,
M055,2023,2,154,164,
M056,2023,2,148,143,
M057,2023,2,144,162,
M058,2023,2,148,155,
M059,2023,2,154,144,
M060,2023,2,134,,
M061,2023,2,140,,詳細設計
M062,2023,2,143,131,
M063,2023,2,151,166,
M064,2023,2,151,148,
M065,2023,2,156,143,
M067,2023,2,159,164,
M068,2023,2,138,141,
M069,2023,2,157,169,
M070,2023,2,154,151,
M071,2023,2,151,162,
M072,2023,2,133,131,
M073,2023,2,144,140,リリース対応
M074,2023,2,140,137,
M075,2023,2,137,156,
M076,2023,2,143,136,
M077,2023,2,148,136,
M078,2023,2,148,163,
M079,2023,2,153,151,
M080,2023,2,143,130,
M081,2023,2,156,144,勉強会・研修
M082,2023,2,158,162,勉強会・研修
M083,2023,2,157,146,詳細設計
M084,2023,2,149,139,
M085,2023,2,135,,
M086,2023,2,133,122,
M087,2023,2,155,149,
M088,2023,2,139,144,
M089,2023,2,156,154,
M090,2023,2,152,137,
M091,2023,2,150,145,
M092,2023,2,142,158,
M093,2023,2,148,166,
M094,2023,2,138,148,
M095,2023,2,160,167,
M096,2023,2,161,163,
M097,2023,2,142,156,顧客打合せ
M098,2023,2,145,163,
M100,2023,2,146,144,
M101,2023,2,144,158,
M102,2023,2,150,156,
M103,2023,2,140,146,
M104,2023,2,137,,
M105,2023,2,144,153,コードレビュー
M106,2023,2,139,130,開発作業
M107,2023,2,157,156,
M108,2023,2,143,139,
M109,2023,2,,160,
M110,2023,2,149,142,
M111,2023,2,135,145,
M112,2023,2,143,135,
M113,2023,2,138,137,
M114,2023,2,146,136,
M115,2023,2,160,144,
M116,2023,2,137,129,詳細設計
M117,2023,2,141,160,
M118,2023,2,140,132,
M119,2023,2,154,142,
M120,2023,2,138,146,顧客打合せ
M121,2023,2,158,175,
M122,2023,2,152,147,
M123,2023,2,150,159,
M124,2023,2,136,137,
M125,2023,2,142,143,
M126,2023,2,134,140,
M127,2023,2,153,147,
M128,2023,2,136,136,
M129,2023,2,153,165,
M130,2023,2,157,150,
M131,2023,2,139,152,
M133,2023,2,140,150,
M134,2023,2,158,176,
M135,2023,2,157,143,
M136,2023,2,144,130,
M137,2023,2,155,173,
M138,2023,2,138,137,
M139,2023,2,143,132,
M140,2023,2,140,151,
M141,2023,2,143,149,
M142,2023,2,137,147,
M143,2023,2,135,147,
M144,2023,2,155,150,
M145,2023,2,158,151,
M146,2023,2,147,141,
M147,2023,2,152,144,
M148,2023,2,153,152,
M149,2023,2,149,156,
M150,2023,2,139,136,障害対応
M151,2023,2,161,179,
M152,2023,2,157,171,
M153,2023,2,160,145,
M154,2023,2,147,138,
M155,2023,2,147,,
M156,2023,2,151,137,詳細設計
M157,2023,2,154,171,
M158,2023,2,137,147,
M159,2023,2,147,138,
M160,2023,2,138,131,
M161,2023,2,147,154,
M162,2023,2,156,175,
M163,2023,2,134,134,
M164,2023,2,155,176,
M165,2023,2,152,158,
M166,2023,2,150,169,
M167,2023,2,139,158,
M168,2023,2,147,156,
M169,2023,2,161,169,
M170,2023,2,160,154,
M172,2023,2,156,142,
M173,2023,2,136,145,
M174,2023,2,137,140,
M175,2023,2,159,174,
M176,2023,2,137,153,
M177,2023,2,134,122,
M178,2023,2,138,148,
M179,2023,2,148,144,
M180,2023,2,157,162,
M181,2023,2,140,156,
M182,2023,2,145,149,
M183,2023,2,160,167,
M184,2023,2,139,136,
M185,2023,2,141,151,
M186,2023,2,160,151,
M187,2023,2,139,150,
M188,2023,2,139,133,
M189,2023,2,138,147,
M190,2023,2,155,157,
M191,2023,2,148,147,
M192,2023,2,139,153,
M193,2023,2,137,155,
M194,2023,2,155,163,
M195,2023,2,148,136,
M196,2023,2,135,137,
M197,2023,2,157,149,テスト作業
M198,2023,2,148,137,
M199,2023,2,137,140,
M200,2023,2,141,157,
M001,2023,3,169,153,
M002,2023,3,183,204,
M003,2023,3,187,213,
M004,2023,3,169,169,
M005,2023,3,169,186,
M006,2023,3,182,196,
M007,2023,3,185,173,
M008,2023,3,,156,
M009,2023,3,173,169,
M010,2023,3,197,203,
M011,2023,3,169,155,
M012,2023,3,169,182,要件定義作業
M013,2023,3,172,,
M014,2023,3,175,192,
M015,2023,3,166,162,
M016,2023,3,195,187,
M017,2023,3,167,157,
M018,2023,3,162,176,
M019,2023,3,162,155,
M020,2023,3,197,181,
M021,2023,3,165,180,
M022,2023,3,182,174,
M023,2023,3,184,184,
M024,2023,3,170,181,
M025,2023,3,183,179,
M026,2023,3,179,195,
M027,2023,3,184,205,詳細設計
M028,2023,3,180,187,
M029,2023,3,195,222,
M030,2023,3,183,206,
M031,2023,3,184,208,
M032,2023,3,186,183,
M033,2023,3,187,179,
M034,2023,3,185,173,ドキュメント作成
M036,2023,3,196,183,
M037,2023,3,181,203,
M038,2023,3,168,157,
M039,2023,3,170,170,
M040,2023,3,193,208,
M041,2023,3,166,169,
M042,2023,3,174,166,
M043,2023,3,197,216,詳細設計
M044,2023,3,,184,
M045,2023,3,174,164,
M046,2023,3,182,169,
M047,2023,3,189,176,
M048,2023,3,178,200,
M049,2023,3,175,185,
M050,2023,3,197,187,
M051,2023,3,166,166,
M052,2023,3,167,158,
M053,2023,3,196,203,
M054,2023,3,,210,
M055,2023,3,178,196,
M056,2023,3,190,171,
M057,2023,3,175,180,
M058,2023,3,166,172,
M059,2023,3,168,,
M060,2023,3,191,197,
M061,2023,3,190,186,
M062,2023,3,,189,
M063,2023,3,196,209,
M064,2023,3,188,189,
M065,2023,3,167,160,
M067,2023,3,181,204,
M068,2023,3,196,195,
M069,2023,3,173,156,
M070,2023,3,162,,
M071,2023,3,176,182,
M072,2023,3,191,203,
M073,2023,3,164,160,
M074,2023,3,174,163,
M075,2023,3,190,196,
M076,2023,3,176,175,
M077,2023,3,193,181,
M078,2023,3,193,205,
M079,2023,3,191,214,
M080,2023,3,180,191,
M081,2023,3,167,151,コードレビュー
M082,2023,3,168,189,
M083,2023,3,192,196,
M084,2023,3,173,161,
M085,2023,3,196,222,
M086,2023,3,176,187,
M087,2023,3,171,175,
M088,2023,3,168,175,
M089,2023,3,172,182,
M090,2023,3,171,167,
M091,2023,3,166,158,
M092,2023,3,175,177,
M093,2023,3,188,211,
M094,2023,3,183,199,基本設計
M095,2023,3,174,167,引継ぎ作業
M096,2023,3,190,189,
M097,2023,3,193,194,
M098,2023,3,166,172,
M100,2023,3,170,166,開発作業
M101,2023,3,,208,
M102,2023,3,193,187,
M103,2023,3,180,191,
M104,2023,3,173,178,
M105,2023,3,164,,
M106,2023,3,195,196,
M107,2023,3,180,199,
M108,2023,3,173,178,
M109,2023,3,182,206,
M110,2023,3,176,183,
M111,2023,3,164,162,
M112,2023,3,174,176,
M113,2023,3,192,188,リリース対応
M114,2023,3,185,183,
M115,2023,3,176,177,ドキュメント作成
M116,2023,3,193,184,詳細設計
M117,2023,3,191,186,
M118,2023,3,166,169,
M119,2023,3,165,186,
M120,2023,3,192,207,
M121,2023,3,174,169,
M122,2023,3,,203,
M123,2023,3,182,190,
M124,2023,3,163,174,
M125,2023,3,181,199,
M126,2023,3,174,189,
M127,2023,3,189,176,
M128,2023,3,181,193,
M129,2023,3,171,191,
M130,2023,3,185,183,
M131,2023,3,191,175,テスト作業
M133,2023,3,184,201,
M134,2023,3,170,178,
M135,2023,3,196,222,
M136,2023,3,187,213,
M137,2023,3,189,183,
M138,2023,3,164,167,
M139,2023,3,178,183,
M140,2023,3,193,175,
M141,2023,3,173,156,
M142,2023,3,180,184,
M143,2023,3,174,169,
M144,2023,3,168,155,
M145,2023,3,169,171,
M146,2023,3,181,190,
M147,2023,3,192,177,
M148,2023,3,181,178,
M149,2023,3,193,187,
M150,2023,3,192,192,
M151,2023,3,182,168,
M152,2023,3,182,193,ドキュメント作成
M153,2023,3,193,197,
M154,2023,3,166,179,
M155,2023,3,164,149,
M156,2023,3,164,156,
M157,2023,3,169,155,
M158,2023,3,165,174,
M159,2023,3,185,179,
M160,2023,3,174,178,
M161,2023,3,172,,
M162,2023,3,188,191,
M163,2023,3,163,158,
M164,2023,3,176,184,
M165,2023,3,178,196,
M166,2023,3,196,182,
M167,2023,3,173,157,
M168,2023,3,196,192,
M169,2023,3,170,162,テスト作業
M170,2023,3,175,161,
M172,2023,3,187,190,
M173,2023,3,174,159,
M174,2023,3,178,195,
M175,2023,3,197,213,
M176,2023,3,176,190,
M177,2023,3,179,196,勉強会・研修
M178,2023,3,192,189,
M179,2023,3,,185,
M180,2023,3,178,169,
M181,2023,3,169,154,詳細設計
M182,2023,3,197,194,
M183,2023,3,180,163,
M184,2023,3,197,,
M185,2023,3,197,224,
M186,2023,3,187,203,
M187,2023,3,163,167,
M188,2023,3,167,151,
M189,2023,3,187,207,
M190,2023,3,188,209,
M191,2023,3,178,201,
M192,2023,3,193,187,
M193,2023,3,192,,
M194,2023,3,167,169,
M195,2023,3,178,161,
M196,2023,3,168,177,
M197,2023,3,169,182,
M198,2023,3,166,161,
M199,2023,3,163,172,
M200,2023,3,192,189,
M001,2023,4,175,167,
M002,2023,4,170,173,
M003,2023,4,160,176,要件定義作業
M004,2023,4,187,188,
M005,2023,4,169,183,
M006,2023,4,176,167,
M007,2023,4,167,186,
M008,2023,4,158,165,
M009,2023,4,169,161,
M010,2023,4,187,174,
M011,2023,4,158,156,
M012,2023,4,161,164,
M013,2023,4,187,184,
M014,2023,4,160,,
M015,2023,4,163,151,
M016,2023,4,167,157,
M017,2023,4,159,178,
M018,2023,4,164,150,
M019,2023,4,172,175,
M020,2023,4,,183,
M021,2023,4,172,182,
M022,2023,4,,186,
M023,2023,4,171,,
M024,2023,4,165,163,
M025,2023,4,162,171,
M026,2023,4,180,183,
M027,2023,4,168,189,
M028,2023,4,183,169,
M029,2023,4,172,177,
M030,2023,4,159,164,
M031,2023,4,167,173,リリース対応
M032,2023,4,166,150,詳細設計
M033,2023,4,158,157,
M034,2023,4,173,170,
M036,2023,4,183,204,
M037,2023,4,180,162,
M038,2023,4,173,178,
M039,2023,4,174,180,
M040,2023,4,165,186,
M041,2023,4,174,184,リリース対応
M042,2023,4,163,147,
M043,2023,4,184,186,
M044,2023,4,160,167,
M045,2023,4,160,171,リリース対応
M046,2023,4,176,,コードレビュー
M047,2023,4,163,175,
M048,2023,4,159,157,
M049,2023,4,167,,
M050,2023,4,181,175,
M051,2023,4,173,191,
M052,2023,4,180,198,
M053,2023,4,169,164,
M054,2023,4,182,173,
M055,2023,4,180,165,
M056,2023,4,181,205,
M057,2023,4,155,152,
M058,2023,4,161,176,
M059,2023,4,169,188,
M060,2023,4,,178,社内会議
M061,2023,4,186,200,
M062,2023,4,163,148,
M063,2023,4,180,172,
M064,2023,4,182,205,
M065,2023,4,183,197,
M067,2023,4,155,158,
M068,2023,4,160,168,
M069,2023,4,159,174,
M070,2023,4,179,,
M071,2023,4,177,178,
M072,2023,4,181,170,
M073,2023,4,,171,
M074,2023,4,184,173,
M075,2023,4,160,173,
M076,2023,4,177,197,
M077,2023,4,,176,
M078,2023,4,171,177,
M079,2023,4,185,181,
M080,2023,4,182,180,
M081,2023,4,173,163,
M082,2023,4,184,169,
M083,2023,4,170,175,
M084,2023,4,169,171,
M085,2023,4,175,172,
M086,2023,4,183,172,
M087,2023,4,181,193,
M088,2023,4,168,185,
M089,2023,4,161,148,
M090,2023,4,167,186,
M091,2023,4,172,182,
M092,2023,4,168,179,
M093,2023,4,177,174,要件定義作業
M094,2023,4,167,163,
M095,2023,4,182,204,
M096,2023,4,173,173,
M097,2023,4,160,167,
M098,2023,4,163,167,
M100,2023,4,162,175,
M101,2023,4,183,173,コードレビュー
M102,2023,4,180,177,
M103,2023,4,187,212,
M104,2023,4,165,182,
M105,2023,4,186,188,
M106,2023,4,168,171,
M107,2023,4,175,190,基本設計
M108,2023,4,179,204,
M109,2023,4,169,157,
M110,2023,4,158,171,
M111,2023,4,180,182,
M112,2023,4,186,178,
M113,2023,4,164,177,
M114,2023,4,188,173,
M115,2023,4,185,174,
M116,2023,4,158,151,
M117,2023,4,160,148,
M118,2023,4,188,,
M119,2023,4,169,168,
M120,2023,4,168,189,
M121,2023,4,176,184,
M122,2023,4,159,156,
M123,2023,4,161,152,
M124,2023,4,158,159,コードレビュー
M125,2023,4,168,186,引継ぎ作業
M126,2023,4,169,164,
M127,2023,4,160,153,プロジェクトA対応
M128,2023,4,157,,
M129,2023,4,157,158,
M130,2023,4,175,197,
M131,2023,4,176,170,
M133,2023,4,159,145,
M134,2023,4,162,183,リリース対応
M135,2023,4,155,140,
M136,2023,4,185,194,
M137,2023,4,159,174,
M138,2023,4,178,201,
M139,2023,4,173,166,
M140,2023,4,155,161,
M141,2023,4,,157,
M142,2023,4,181,174,
M143,2023,4,178,163,
M144,2023,4,182,194,
M145,2023,4,173,161,
M146,2023,4,176,170,
M147,2023,4,179,183,
M148,2023,4,174,174,
M149,2023,4,183,201,引継ぎ作業
M150,2023,4,184,185,引継ぎ作業
M151,2023,4,185,203,
M152,2023,4,186,205,
M153,2023,4,156,144,
M154,2023,4,184,199,
M155,2023,4,186,194,
M156,2023,4,167,154,
M157,2023,4,157,154,
M158,2023,4,185,201,
M159,2023,4,186,170,
M160,2023,4,181,183,
M161,2023,4,,149,
M162,2023,4,158,154,
M163,2023,4,175,177,
M164,2023,4,172,185,
M165,2023,4,188,197,
M166,2023,4,184,193,
M167,2023,4,172,165,
M168,2023,4,163,153,
M169,2023,4,182,181,
M170,2023,4,176,171,
M172,2023,4,169,156,
M173,2023,4,167,168,
M174,2023,4,180,194,
M175,2023,4,158,174,
M176,2023,4,176,181,基本設計
M177,2023,4,176,167,
M178,2023,4,169,183,
M179,2023,4,156,143,
M180,2023,4,176,199,
M181,2023,4,156,144,
M182,2023,4,184,207,
M183,2023,4,159,147,
M184,2023,4,166,168,
M185,2023,4,157,146,
M186,2023,4,168,176,
M187,2023,4,186,189,
M188,2023,4,181,163,
M189,2023,4,163,152,
M190,2023,4,183,175,
M191,2023,4,186,196,
M192,2023,4,181,184,
M193,2023,4,164,163,
M194,2023,4,175,199,
M195,2023,4,175,196,
M196,2023,4,183,197,
M197,2023,4,182,207,
M198,2023,4,,167,
M199,2023,4,182,197,
M200,2023,4,165,177,
M001,2023,5,171,174,
M002,2023,5,173,,
M003,2023,5,167,153,
M004,2023,5,,205,
M005,2023,5,181,176,
M006,2023,5,166,180,
M007,2023,5,193,198,
M008,2023,5,180,173,
M009,2023,5,195,207,
M010,2023,5,163,184,
M011,2023,5,172,158,
M012,2023,5,169,171,
M013,2023,5,174,198,
M014,2023,5,173,175,
M015,2023,5,183,180,
M016,2023,5,189,177,顧客打合せ
M017,2023,5,195,208,
M018,2023,5,193,179,
M019,2023,5,192,196,
M020,2023,5,194,177,
M021,2023,5,187,178,
M022,2023,5,167,182,
M023,2023,5,193,195,
M024,2023,5,188,201,
M025,2023,5,195,218,テスト作業
M026,2023,5,184,187,
M027,2023,5,183,167,
M028,2023,5,167,179,
M029,2023,5,197,213,
M030,2023,5,179,185,社内会議
M031,2023,5,181,191,
M032,2023,5,189,182,
M033,2023,5,162,179,
M034,2023,5,196,182,
M036,2023,5,164,181,
M037,2023,5,175,,
M038,2023,5,179,204,
M039,2023,5,170,178,
M040,2023,5,189,176,
M041,2023,5,186,207,
M042,2023,5,186,204,リリース対応
M043,2023,5,191,173,
M044,2023,5,166,,
M045,2023,5,191,212,
M046,2023,5,182,190,
M047,2023,5,177,167,要件定義作業
M048,2023,5,193,206,顧客打合せ
M049,2023,5,186,202,
M050,2023,5,166,,
M051,2023,5,178,176,
M052,2023,5,164,158,プロジェクトB対応
M053,2023,5,170,189,
M054,2023,5,163,174,ドキュメント作成
M055,2023,5,191,210,
M056,2023,5,177,192,
M057,2023,5,,181,
M058,2023,5,166,161,
M059,2023,5,168,175,
M060,2023,5,166,181,プロジェクトB対応
M061,2023,5,187,205,
M062,2023,5,195,185,リリース対応
M063,2023,5,163,165,
M064,2023,5,187,179,
M065,2023,5,195,187,
M067,2023,5,177,177,
M068,2023,5,184,176,
M069,2023,5,163,173,
M070,2023,5,177,195,
M071,2023,5,175,166,
M072,2023,5,191,192,
M073,2023,5,183,188,
M074,2023,5,174,159,
M075,2023,5,193,179,
M076,2023,5,173,167,開発作業
M077,2023,5,164,148,
M078,2023,5,162,165,障害対応
M079,2023,5,,157,
M080,2023,5,196,179,リリース対応
M081,2023,5,177,177,
M082,2023,5,171,187,
M083,2023,5,176,200,
M084,2023,5,191,173,
M085,2023,5,181,188,
M086,2023,5,191,214,
M087,2023,5,165,175,
M088,2023,5,182,207,
M089,2023,5,173,163,
M090,2023,5,185,175,障害対応
M091,2023,5,188,188,
M092,2023,5,192,186,
M093,2023,5,,192,
M094,2023,5,162,168,
M095,2023,5,189,180,
M096,2023,5,193,207,
M097,2023,5,166,158,
M098,2023,5,188,188,
M100,2023,5,173,,
M101,2023,5,165,172,
M102,2023,5,,181,
M103,2023,5,188,174,
M104,2023,5,181,201,
M105,2023,5,165,149,
M106,2023,5,163,164,ドキュメント作成
M107,2023,5,197,186,
M108,2023,5,189,215,
M109,2023,5,175,174,
M110,2023,5,168,161,
M111,2023,5,168,183,
M112,2023,5,179,178,開発作業
M113,2023,5,188,181,
M114,2023,5,165,175,
M115,2023,5,191,174,
M116,2023,5,176,183,コードレビュー
M117,2023,5,181,204,
M118,2023,5,171,164,
M119,2023,5,184,195,
M120,2023,5,178,167,
M121,2023,5,173,197,
M122,2023,5,183,197,
M123,2023,5,190,173,
M124,2023,5,169,,
M125,2023,5,191,199,
M126,2023,5,192,211,
M127,2023,5,172,175,
M128,2023,5,181,166,
M129,2023,5,177,190,
M130,2023,5,181,173,
M131,2023,5,176,159,
M133,2023,5,167,175,
M134,2023,5,163,164,
M135,2023,5,178,186,
M136,2023,5,172,193,
M137,2023,5,172,155,
M138,2023,5,167,161,
M139,2023,5,192,173,
M140,2023,5,182,175,顧客打合せ
M141,2023,5,195,188,
M142,2023,5,196,212,
M143,2023,5,190,194,
M144,2023,5,192,186,
M145,2023,5,197,,
M146,2023,5,192,199,詳細設計
M147,2023,5,176,191,
M148,2023,5,162,163,
M149,2023,5,197,,
M150,2023,5,183,196,
M151,2023,5,163,154,
M152,2023,5,177,171,
M153,2023,5,167,154,
M154,2023,5,170,184,
M155,2023,5,171,156,
M156,2023,5,166,153,
M157,2023,5,184,206,
M158,2023,5,185,186,
M159,2023,5,164,170,
M160,2023,5,173,187,
M161,2023,5,192,207,
M162,2023,5,190,194,
M163,2023,5,,160,
M164,2023,5,193,192,
M165,2023,5,181,195,
M166,2023,5,170,173,
M167,2023,5,,181,
M168,2023,5,190,205,
M169,2023,5,179,187,
M170,2023,5,170,191,
M172,2023,5,166,180,
M173,2023,5,180,205,
M174,2023,5,184,184,
M175,2023,5,176,193,
M176,2023,5,172,185,
M177,2023,5,197,197,社内会議
M178,2023,5,190,189,
M179,2023,5,165,154,
M180,2023,5,177,164,
M181,2023,5,183,168,
M182,2023,5,187,181,
M183,2023,5,169,185,
M184,2023,5,162,176,
M185,2023,5,195,182,
M186,2023,5,166,189,
M187,2023,5,189,181,社内会議
M188,2023,5,179,169,
M189,2023,5,166,175,
M190,2023,5,164,163,
M191,2023,5,169,153,
M192,2023,5,173,160,テスト作業
M193,2023,5,162,147,
M194,2023,5,166,169,
M195,2023,5,177,200,
M196,2023,5,165,152,
M197,2023,5,,183,
M198,2023,5,185,174,
M199,2023,5,178,176,
M200,2023,5,192,186,
M001,2023,6,177,161,
M002,2023,6,166,179,
M003,2023,6,,191,
M004,2023,6,158,168,
M005,2023,6,185,187,
M006,2023,6,157,149,
M007,2023,6,164,,プロジェクトA対応
M008,2023,6,161,149,
M009,2023,6,178,186,
M010,2023,6,186,180,基本設計
M011,2023,6,183,184,
M012,2023,6,162,157,
M013,2023,6,183,191,
M014,2023,6,172,196,
M015,2023,6,175,187,
M016,2023,6,188,208,
M017,2023,6,168,154,
M018,2023,6,168,176,リリース対応
M019,2023,6,,179,
M020,2023,6,177,193,
M021,2023,6,182,189,
M022,2023,6,163,174,
M023,2023,6,162,154,
M024,2023,6,164,151,
M025,2023,6,168,155,
M026,2023,6,181,163,
M027,2023,6,178,197,
M028,2023,6,182,204,
M029,2023,6,187,180,
M030,2023,6,160,153,障害対応
M031,2023,6,184,192,
M032,2023,6,165,180,
M033,2023,6,175,161,社内会議
M034,2023,6,157,150,
M036,2023,6,182,169,
M037,2023,6,185,189,
M038,2023,6,165,183,
M039,2023,6,157,156,
M040,2023,6,177,189,要件定義作業
M041,2023,6,167,152,
M042,2023,6,182,204,
M043,2023,6,188,185,
M044,2023,6,167,156,障害対応
M045,2023,6,185,205,
M046,2023,6,177,190,
M047,2023,6,180,186,
M048,2023,6,157,161,
M049,2023,6,158,174,
M050,2023,6,157,154,
M051,2023,6,184,188,
M052,2023,6,177,163,
M053,2023,6,169,170,
M054,2023,6,178,165,
M055,2023,6,158,155,
M056,2023,6,162,175,
M057,2023,6,184,206,
M058,2023,6,172,180,
